0.07,-6016,-4848,6820,32.91,17818,3029,8102,-0.49
0.13,-696,-2248,2268,32.81,12914,4863,-4185,-0.76
0.20,-4092,-4204,8548,32.72,16343,11585,-4175,-0.42
0.26,1076,-6544,3152,32.77,11393,14103,-3828,-1.1
0.34,2684,-13768,-5356,32.77,5434,2654,-2719,-1.16
0.41,23496,-5256,9180,32.77,-32768,-16872,-11538,-0.21
0.47,-9456,-3600,4268,32.72,-5437,-7781,-718,-0.33
0.53,-424,-756,4812,32.72,-198,-1325,345,-0.16
0.59,-1148,-872,4208,32.77,171,-2606,-109,-0.2
0.65,-1556,-900,4420,32.67,859,-1305,-139,-0.19
0.72,-1240,-880,4608,32.72,878,-1776,-739,-0.18
0.78,-2156,-732,4208,32.77,-34,-3143,-715,-0.15
0.84,-1020,-728,4212,32.67,-236,-1740,-263,-0.17
0.91,-868,-572,4364,32.72,-220,-1520,-485,-0.13
0.97,-988,-264,4076,32.67,-1584,-2040,-2215,-0.06
1.04,-324,-384,5156,32.72,-12844,2017,-1716,-0.07
1.10,-1280,1572,6068,32.81,-32768,-2622,-6323,0.25
1.17,-964,-6328,4752,32.72,-32768,-13644,-26497,-0.92
1.23,-2264,4496,1156,32.77,10851,-5691,14226,1.06
1.30,-1004,-348,4836,32.77,23056,3317,8233,-0.07
1.36,-336,-4516,6632,32.72,26112,6063,3764,-0.6
1.43,-1500,-6056,6752,32.67,21567,7125,2617,-0.72
1.49,-280,-4276,3104,32.67,14110,7403,821,-0.94
1.55,-3072,-5792,5688,32.72,5405,16723,7289,-0.73
1.62,2884,-13008,1364,32.67,3689,4818,14282,-1.33
1.69,9420,-17260,-16516,32.67,-27702,-15284,-928,-0.74
1.75,-1444,-2040,5360,32.58,-3207,3331,795,-0.35
1.81,-1616,-804,4196,32.72,1646,-1338,-197,-0.18
1.88,-1012,-836,4576,32.67,441,-1194,-238,-0.18
1.94,-1192,-796,4320,32.62,-1184,-3228,-729,-0.18
2.00,-628,-1576,4632,32.62,-368,-1095,-748,-0.33
2.07,-600,-796,4536,32.67,-2316,1171,-1310,-0.17
2.13,-876,-156,4760,32.67,-7502,2651,-1783,-0.03
2.20,-10224,7016,8084,32.72,3009,-1538,4980,0.49
2.27,32767,-32768,-16944,32.58,-32768,-14550,-14860,-0.73
2.33,-840,-384,4052,32.62,2072,-1067,555,-0.09
2.39,-816,-1444,4664,32.58,-517,-983,171,-0.3
2.45,-684,-924,4704,32.67,-885,628,20,-0.19
2.51,-1188,-928,4312,32.53,-879,1661,-347,-0.2
2.57,-1864,-56,4484,32.67,-4652,-3506,-354,-0.01
2.64,1044,-3048,4184,32.62,-1457,1415,-2396,-0.62
2.70,-1108,-1340,4720,32.62,2829,1246,2783,-0.27
2.76,-664,-512,4564,32.67,2501,-1025,1867,-0.11
2.83,-988,-832,4660,32.62,-5592,-1655,-2727,-0.17
2.88,-1448,-4608,5448,32.62,2690,-565,552,-0.69
2.95,2740,-3052,3644,32.67,-3638,-1842,-832,-0.59
3.01,-440,-1096,4600,32.62,-517,-223,7,-0.23
3.07,-604,-1108,4412,32.53,-1822,-468,231,-0.24
3.13,-1408,-316,4976,32.62,-12358,146,-2749,-0.06
3.20,1216,-5268,3184,32.62,-19483,-2549,-2534,-1
3.27,-2148,444,5984,32.62,10918,2669,5740,0.07
3.33,-2272,-6308,16040,32.58,17871,338,2670,-0.37
3.40,3044,-4296,6412,32.62,6678,6022,4114,-0.54
3.45,-1152,-672,4508,32.58,561,-1024,412,-0.14
3.51,-776,-1172,4808,32.67,-468,-907,-70,-0.24
3.57,-980,-720,4368,32.62,-841,435,153,-0.16
3.64,200,708,4248,32.58,-4221,384,-553,0.16
3.70,-856,-1176,4808,32.53,-9609,1397,-2167,-0.24
3.77,-2024,-640,5036,32.72,-5153,-3751,1122,-0.12
3.81,1932,-5960,9140,32.62,1641,-1105,-267,-0.57
3.88,-440,852,6480,32.58,14106,2501,3023,0.13
3.95,-160,-1660,4896,32.58,-1073,-1097,-31,-0.33
4.01,-588,-896,4584,32.62,-557,-911,-305,-0.19
4.07,-116,-232,4348,32.72,-2051,-1153,-969,-0.05
4.14,-912,-968,5228,32.58,-13823,1389,-2427,-0.18
4.20,304,-2308,3360,32.67,-16420,-5974,-2517,-0.6
4.25,324,412,4960,32.58,13703,4718,1856,0.08
4.33,2868,-14432,1144,32.67,13508,3392,-25,-1.36
4.38,-3448,-5420,6764,32.62,-8819,-1571,-627,-0.62
4.45,-240,-500,4440,32.72,-178,-882,-85,-0.11
4.52,-600,-1028,4632,32.62,-592,-147,257,-0.22
4.57,-948,-636,4528,32.62,-1339,563,-217,-0.14
4.64,-1056,0,4436,32.67,-6723,294,-28,0
4.70,-1212,-988,4912,32.67,-9536,-1554,591,-0.19
4.75,-800,-2384,4280,32.58,-4779,-2090,-2401,-0.5
4.81,512,-260,4744,32.67,4401,1538,-5837,-0.05
4.88,572,-27048,1676,32.67,11547,598,682,-1.51
4.94,120,-1924,4856,32.58,638,732,1063,-0.38
5.00,-508,-936,4500,32.58,-262,-38,2,-0.2
5.05,-1064,-696,4464,32.62,-1942,569,-253,-0.15
5.13,-1040,-576,5240,32.72,-11236,-1857,1376,-0.11
5.18,-2540,2548,6708,32.67,1819,-1069,4470,0.34
5.25,3820,-932,9252,32.62,6289,1411,2926,-0.09
5.32,2276,3832,4300,32.62,3556,3624,4006,0.67
5.37,-1344,-1100,4768,32.62,-1183,-734,717,-0.22
5.44,-976,-736,4368,32.48,-723,-529,307,-0.16
5.50,-812,-968,4664,32.58,-751,-374,339,-0.2
5.55,-536,-464,4208,32.58,-3182,284,357,-0.11
5.61,-644,-428,4972,32.67,-10645,565,181,-0.09
5.68,-424,-2500,5328,32.58,-10412,-2934,517,-0.44
5.74,-664,-3156,3816,32.67,1656,961,-4691,-0.68
5.80,892,-2724,3796,32.62,11780,2539,-3798,-0.61
5.87,-2644,-692,4900,32.67,14098,2666,5440,-0.12
5.93,-596,-588,4256,32.58,611,382,799,-0.14
5.98,-952,-1024,4436,32.58,-821,-867,-152,-0.22
6.05,-848,-940,4740,32.62,-1333,-611,-404,-0.19
6.12,-1192,-608,4680,32.62,-2248,279,-716,-0.13
6.17,-1772,-392,4260,32.58,-5542,439,-736,-0.08
6.24,-1196,-640,5420,32.62,-9578,-4134,-7301,-0.11
6.30,-2084,9668,4652,32.44,4606,8226,11521,1.09
6.37,5072,648,2680,32.67,8612,550,-1290,0.11
6.44,-3820,-396,4452,32.62,4091,-1181,-1930,-0.07
6.48,532,1312,1412,32.53,1610,4254,253,0.72
6.54,480,1928,5456,32.58,614,927,-1254,0.34
6.62,-2176,-1176,4620,32.62,-1294,2431,-413,-0.23
6.67,-1068,-5320,5528,32.53,12680,1274,1557,-0.76
6.74,-3260,-9696,-20284,32.48,-22528,-15954,-8472,-0.44
6.80,-828,-1316,3432,32.48,-3756,1093,475,-0.36
6.87,-796,-616,4908,32.62,-379,-503,283,-0.12
6.93,-1028,40,4628,32.62,-345,-315,484,0.01
6.98,-800,320,4280,32.58,-1892,-1168,651,0.07
