0.06,-884,-740,4568,33.52,-105,-214,408,-0.16
0.12,-528,-584,5032,33.52,-274,-1273,244,-0.11
0.18,-760,-628,4572,33.42,-138,65,37,-0.13
0.23,-832,-408,4312,33.38,-496,-573,-89,-0.09
0.31,-680,-624,4396,33.47,-61,-1439,-171,-0.14
0.37,-692,-524,4500,33.52,-122,-1491,-256,-0.11
0.43,-508,-488,4336,33.47,465,-1330,-209,-0.11
0.50,-444,-220,4132,33.52,-667,-2074,-539,-0.05
0.56,16,168,4352,33.47,-4364,-2559,-3173,0.04
0.62,-368,156,5188,33.57,-5028,-460,-1310,0.03
0.68,-1284,496,5800,33.52,-32768,-2490,-3576,0.08
0.75,788,-2828,9508,33.42,-32768,-1304,-12023,-0.29
0.81,-7784,7448,4104,33.61,9143,-4805,3664,0.7
0.87,1200,3544,5828,33.38,18441,4461,3503,0.54
0.93,-1424,-1280,6212,33.42,30081,3505,2722,-0.2
1.00,464,-3828,6908,33.33,32273,6505,3531,-0.51
1.06,-296,-5164,10604,33.47,26833,10986,1916,-0.45
1.13,-1520,-5264,9576,33.28,29780,8939,1924,-0.5
1.19,-1548,-6612,5544,33.38,24463,10815,6040,-0.85
1.26,568,-10300,-692,33.33,11493,9699,6927,-1.48
1.33,-4848,-21496,-2088,33.38,-16717,-11938,8557,-1.33
1.39,-5624,-5000,17528,33.28,-18921,3119,-3695,-0.27
1.46,-3512,-1664,6460,33.33,-13023,-11836,-1147,-0.22
1.53,-1632,-288,4180,33.33,-3160,-1846,-405,-0.06
1.60,-1212,-864,4676,33.33,-10684,-15836,-1079,-0.18
1.66,188,-1140,4800,33.38,-2886,-3828,-903,-0.23
1.72,416,-1224,4440,33.28,-1588,-1816,-814,-0.27
1.79,124,-1396,4740,33.33,-2225,-2005,-1651,-0.29
1.85,492,-1816,4420,33.33,-1788,-1401,-163,-0.39
1.91,580,-1768,4424,33.33,50,-940,-90,-0.38
1.97,-68,-1440,4344,33.38,1762,304,1074,-0.32
2.03,556,-1528,4396,33.38,-536,691,-855,-0.33
2.09,408,-1572,4384,33.38,249,2021,82,-0.34
2.15,208,-1320,4352,33.24,-303,-225,-386,-0.29
2.21,212,-1520,4548,33.38,-1691,723,-172,-0.32
2.27,352,-1464,4324,33.28,-905,-540,-287,-0.33
2.33,400,-1492,4320,33.33,-123,655,23,-0.33
2.39,188,-1496,4496,33.28,-244,-226,-28,-0.32
2.45,276,-1500,4292,33.28,-80,270,50,-0.34
2.50,312,-1504,4480,33.24,-326,61,-16,-0.32
2.56,244,-1436,4572,33.28,-254,199,69,-0.3
2.62,360,-1496,4448,33.24,-282,24,0,-0.32
2.68,248,-1384,4400,33.28,-252,119,34,-0.3
2.73,312,-1352,4512,33.33,-350,6,18,-0.29
2.79,232,-1428,4388,33.33,-249,74,28,-0.31
2.84,192,-1416,4368,33.38,-220,178,16,-0.31
2.91,268,-1340,4512,33.33,-321,108,-8,-0.29
2.95,244,-1312,4520,33.28,-359,-8,22,-0.28
3.01,256,-1300,4584,33.24,-257,195,-10,-0.28
3.07,224,-1364,4512,33.24,-663,1230,-18,-0.29
3.14,140,-1380,4476,33.24,-507,128,5,-0.3
3.19,240,-1348,4404,33.38,-276,352,2,-0.3
3.25,212,-1388,4556,33.33,-202,392,-21,-0.3
3.31,116,-1316,4568,33.38,-231,475,-17,-0.28
3.37,56,-1384,4440,33.28,-321,192,12,-0.3
3.42,16,-1192,4520,33.24,-402,93,24,-0.26
3.48,16,-1424,4540,33.33,-470,-106,26,-0.3
3.54,104,-1344,4520,33.28,-416,-63,-9,-0.29
3.60,76,-1276,4520,33.33,-338,-25,-29,-0.28
3.66,104,-1368,4552,33.24,-251,107,-12,-0.29
3.71,100,-1348,4456,33.28,-368,45,7,-0.29
3.77,100,-1348,4480,33.38,-275,67,-16,-0.29
3.82,92,-1300,4628,33.38,-126,169,4,-0.27
3.89,92,-1316,4556,33.28,-228,85,12,-0.28
3.94,92,-1312,4428,33.38,-47,-42,1,-0.29
4.00,120,-1196,4484,33.28,-219,-115,-16,-0.26
4.05,-28,-1136,4372,33.28,-265,-75,34,-0.25
4.11,104,-1212,4404,33.33,-275,-66,-27,-0.27
4.17,88,-1196,4512,33.28,-402,-67,-28,-0.26
4.24,80,-1252,4592,33.33,-182,126,-20,-0.27
4.29,144,-1092,4524,33.38,-266,43,34,-0.24
4.34,56,-1212,4532,33.24,-357,98,-9,-0.26
4.41,116,-1140,4592,33.33,-200,146,1,-0.24
4.46,92,-1292,4388,33.28,-290,79,2,-0.29
4.51,108,-1220,4580,33.28,-262,114,-13,-0.26
4.57,20,-1084,4484,33.42,-258,134,-13,-0.24
4.63,104,-1148,4524,33.28,-405,52,-9,-0.25
4.69,56,-1096,4412,33.24,-342,72,-9,-0.24
4.75,100,-1084,4572,33.42,-335,116,-20,-0.23
4.81,76,-1168,4608,33.33,-341,99,-8,-0.25
4.87,144,-1164,4372,33.33,-287,119,-10,-0.26
4.93,-20,-1100,4460,33.33,-258,103,-46,-0.24
4.97,32,-1152,4532,33.38,-236,124,-30,-0.25
5.04,-92,-904,4384,33.33,350,722,-88,-0.2
5.11,20,-980,4496,33.28,-109,395,-125,-0.21
5.16,36,-1024,4664,33.24,-116,318,14,-0.22
5.21,-88,-932,4436,33.28,29,292,-66,-0.21
5.27,-96,-924,4528,33.38,137,349,-76,-0.2
5.32,-184,-968,4580,33.24,164,355,-94,-0.21
5.39,-196,-872,4372,33.38,26,337,-198,-0.2
5.44,-124,-896,4524,33.33,-180,152,-55,-0.2
5.51,-92,-816,4496,33.24,-387,72,-53,-0.18
5.56,-92,-840,4484,33.33,-389,10,-64,-0.19
5.61,-208,-836,4360,33.38,-365,97,-5,-0.19
5.67,-216,-820,4596,33.24,-442,129,-27,-0.18
5.74,-192,-1012,4676,33.38,-449,260,-102,-0.21
